SHAPE,GIS_IDNTFC_NO,PNU,LD_CPSG_CODE,LD_EMD_LI_CODE,REGSTR_SE_CODE,MNNM,SLNO,SRC_OBJECTID,SRC_LD_CPSG_CODE,BULD_IDNTFC_NO,AGBLDG_SE_CODE,BULD_KND_CODE,BULD_TOTAR,STRCT_CODE,STRCT_CODE_NM,MAIN_PRPOS_CODE,MAIN_PRPOS_CODE_NM,BULD_HG,GROUND_FLOOR_CO,UNDGRND_FLOOR_CO,USE_CONFM_DE,BULD_AGE,AGRDE_SE_CODE,AGRDE_SE_CODE_NM,AGRDE_5_CLASS_SE_CODE,AGRDE_5_CLASS_SE_CODE_NM,FRST_REGIST_DT,PRMISN_DE,BULD_NM,BULD_DONG_NM
201888.591 452795.237 201886.361 452801.128 201877.33 452798.278 201879.93 452792.098 201888.591 452795.237,1968201883004527966800000000,1111017500104090000,11110,17500,1,0409,0000,4617,11110,25897,1,2,237.09,11,벽돌구조,04000,제2종근린생활시설,0,3,1,19680501,52,06,50대,055,55세미만,2019-01-31Z,,,
199887.997 453608.807 199877.297 453603.657 199881.367 453595.107 199885.927 453597.127 199883.877 453601.647 199886.557 453602.957 199888.887 453598.107 199892.367 453599.716 199887.997 453608.807,2009199884594536021400000000,1111017100100080007,11110,17100,1,0008,0007,26385,11110,100184860,1,2,196.5,21,철근콘크리트구조,01000,단독주택,10.5,4,0,20090224,11,02,10대,015,15세미만,2019-01-31Z,20081114,에이스하우스,
200405.899 452823.952 200404.809 452831.172 200388.349 452828.512 200389.339 452821.702 200391.859 452821.972 200392.369 452821.062 200405.899 452823.952,1991200397144528261000000000,1111016500100050015,11110,16500,1,0005,0015,3630,11110,15804,1,2,651.71,21,철근콘크리트구조,03000,제1종근린생활시설,0,4,1,19910128,29,03,20대,030,30세미만,2019-01-31Z,19900730,,
200952.676 452340.289 200945.705 452339.069 200946.745 452336.469 200944.745 452335.239 200946.045 452333.219 200947.445 452333.359 200948.235 452331.869 200950.335 452332.289 200952.336 452328.799 200955.505 452329.679 200952.676 452340.289,0000200950554523349800000000,1111017400101420003,11110,17400,1,0142,0003,5009,11110,10543,1,2,37.19,51,일반목구조,03000,제1종근린생활시설,0,1,1,,,ZZ,기타,ZZZ,구분없,2019-01-31Z,,,
200463.054 453112.113 200462.474 453113.643 200463.514 453114.983 200459.524 453119.433 200458.644 453118.613 200459.904 453115.273 200457.654 453113.783 200456.714 453112.223 200460.634 453108.383 200463.054 453112.113,0000200460334531135200000000,1111016800101290187,11110,16800,1,0129,0187,3727,11110,20866,1,2,18.74,51,일반목구조,01000,단독주택,0,1,0,,,ZZ,기타,ZZZ,구분없,2019-01-31Z,,,
202788.418 450942.358 202782.328 450946.858 202779.598 450944.088 202772.648 450943.178 202768.498 450938.208 202778.297 450929.608 202788.418 450942.358,1996202778494509388300000000,1120010700102980084,11200,10700,1,0298,0084,25938,11200,9772,1,2,184.24,11,벽돌구조,01000,단독주택,7.6,2,1,19961023,24,03,20대,025,25세미만,2019-01-31Z,19940525,,
203226.145 450512.797 203223.154 450513.467 203223.835 450516.687 203211.544 450519.867 203207.044 450500.817 203218.254 450497.997 203218.664 450500.007 203221.824 450499.267 203223.274 450505.977 203224.894 450505.147 203226.145 450512.797,1987203216454505086300000000,1120010700101280518,11200,10700,1,0128,0518,26358,11200,9145,1,2,997.65,21,철근콘크리트구조,06000,종교시설,15.6,2,1,19870806,33,04,30대,035,35세미만,2019-01-31Z,19860220,,
202824.754 450676.215 202822.694 450685.285 202813.594 450682.705 202815.424 450674.185 202824.754 450676.215,2000202819164506796000000000,1120010700103170056,11200,10700,1,0317,0056,27065,11200,10011,1,2,185.85,31,일반철골구조,03000,제1종근린생활시설,10.4,3,0,20000407,20,03,20대,025,25세미만,2019-01-31Z,19990517,,
201929.858 452777.995 201932.311 452779.617 201926.681 452787.397 201922.311 452784.347 201924.281 452781.757 201926.501 452783.077 201929.858 452777.995,0000201927404527829400000000,1111017500112020000,11110,17500,1,1202,0000,3746,11110,19015,1,2,33.06,51,일반목구조,01000,단독주택,0,1,0,,,ZZ,기타,ZZZ,구분없,2019-01-31Z,,,
201843.822 452888.699 201850.872 452890.129 201849.482 452896.529 201843.082 452895.059 201843.822 452888.699,0000201846834528925500000000,1111017500104770000,11110,17500,1,0477,0000,3750,11110,14036,1,2,19.83,51,일반목구조,01000,단독주택,0,1,0,,,ZZ,기타,ZZZ,구분없,2019-01-31Z,,,
