SHAPE,GIS_IDNTFC_NO,PNU,LD_CPSG_CODE,LD_EMD_LI_CODE,REGSTR_SE_CODE,MNNM,SLNO,SRC_OBJECTID,SRC_LD_CPSG_CODE,BULD_IDNTFC_NO,AGBLDG_SE_CODE,BULD_KND_CODE,BULD_TOTAR,STRCT_CODE,STRCT_CODE_NM,MAIN_PRPOS_CODE,MAIN_PRPOS_CODE_NM,BULD_HG,GROUND_FLOOR_CO,UNDGRND_FLOOR_CO,USE_CONFM_DE,BULD_AGE,AGRDE_SE_CODE,AGRDE_SE_CODE_NM,AGRDE_5_CLASS_SE_CODE,AGRDE_5_CLASS_SE_CODE_NM,FRST_REGIST_DT,PRMISN_DE,BULD_NM,BULD_DONG_NM
199423.136 453783.296 199418.336 453789.346 199410.776 453782.146 199410.216 453782.656 199407.296 453779.786 199409.686 453775.486 199423.136 453783.296,0000199415114537822000000000,1111017300100600013,11110,17300,1,0060,0013,28018,11110,15286,1,2,59.1,11,벽돌구조,01000,단독주택,0,1,0,19850629,35,04,30대,040,40세미만,2019-01-31Z,,,
201286.879 452365.714 201286.999 452373.834 201286.149 452374.924 201278.809 452375.054 201278.769 452365.444 201286.879 452365.714,1992201282814523702600000000,1111017400102760001,11110,17400,1,0276,0001,7606,11110,27323,1,2,332.68,21,철근콘크리트구조,03000,제1종근린생활시설,0,4,1,19921222,28,03,20대,030,30세미만,2019-01-31Z,19910320,,
202676.444 450760.298 202664.524 450754.528 202668.494 450748.198 202674.464 450751.018 202678.474 450744.298 202683.924 450747.018 202676.444 450760.298,1997202674654507525000000000,1120010700103110006,11200,10700,1,0311,0006,28145,11200,9957,1,2,354.34,21,철근콘크리트구조,01000,단독주택,8.47,2,1,19971209,23,03,20대,025,25세미만,2019-01-31Z,19970329,,
200020.807 452915.799 200013.397 452916.949 200012.527 452915.959 200015.957 452911.639 200020.807 452915.799,1998200016264529148000000000,1111016600101180011,11110,16600,1,0118,0011,2848,11110,22500,1,2,71.31,21,철근콘크리트구조,01000,단독주택,9.1,3,0,19980325,22,03,20대,025,25세미만,2019-01-31Z,19971203,,
202521.333 450765.24 202518.983 450775.831 202512.293 450774.481 202514.813 450763.551 202521.333 450765.24,1994202516834507697800000000,1120010700103040011,11200,10700,1,0304,0011,28473,11200,9857,1,2,179.96,11,벽돌구조,01000,단독주택,7.6,2,1,19941128,26,03,20대,030,30세미만,2019-01-31Z,19940322,,
201453.366 452734.504 201442.456 452737.594 201440.596 452731.574 201450.666 452728.394 201453.366 452734.504,1964201446824527330300000000,1111017500100590039,11110,17500,1,0059,0039,316,11110,15753,1,2,72.43,12,블록구조,04000,제2종근린생활시설,0,1,0,19640629,56,06,50대,060,60세미만,2019-01-31Z,,,
200807.894 452346.441 200807.275 452347.331 200800.254 452347.681 200800.174 452345.181 200801.444 452344.702 200801.304 452342.181 200807.224 452341.781 200807.894 452346.441,2007200804174523448800000000,1111017400106540000,11110,17400,1,0654,0000,7777,11110,15829,1,2,118.4,19,기타조적구조,01000,단독주택,8,3,0,20070207,13,02,10대,015,15세미만,2019-01-31Z,19940822,,
201443.425 453113.838 201443.422 453113.897 201437.062 453114.937 201436.872 453108.317 201440.222 453108.097 201440.382 453107.267 201443.022 453107.437 201443.425 453113.838,1987201440114531111300000000,1111017500100210001,11110,17500,1,0021,0001,4106,11110,5836,1,2,140.74,21,철근콘크리트구조,01000,단독주택,0,2,1,19871201,33,04,30대,035,35세미만,2019-01-31Z,19870610,,
197049.69 456475.386 197037.76 456481.396 197035.08 456475.686 197046.83 456469.706 197049.69 456475.386,2003197042354564755400000000,1111018300101310015,11110,18300,1,0131,0015,22644,11110,19390,1,2,178.98,21,철근콘크리트구조,01000,단독주택,7.65,2,0,20031128,17,02,10대,020,20세미만,2019-01-31Z,20030528,,
200953.604 452854.903 200950.774 452853.113 200950.364 452853.453 200944.624 452848.963 200951.034 452840.773 200959.004 452847.273 200953.604 452854.903,1975200951904528480300000000,1111017400100230457,11110,17400,1,0023,0457,4416,11110,13437,1,2,199.86,11,벽돌구조,01000,단독주택,0,3,1,19750930,45,05,40대,050,50세미만,2019-01-31Z,,,
200979.145 452306.588 200979.085 452307.628 200982.265 452308.398 200980.325 452314.168 200974.595 452312.928 200976.405 452306.018 200979.145 452306.588,0000200978294523102900000000,1111017400101420022,11110,17400,1,0142,0022,6488,11110,15821,1,2,37.49,51,일반목구조,01000,단독주택,0,1,0,,,ZZ,기타,ZZZ,구분없,2019-01-31Z,,,
200481.665 453156.593 200476.205 453159.993 200473.465 453155.463 200479.245 453151.643 200481.665 453156.593,2008200477644531558800000000,1111016800101290177,11110,16800,1,0129,0177,4900,11110,6182,1,2,118.74,21,철근콘크리트구조,01000,단독주택,10.5,3,0,20080205,12,02,10대,015,15세미만,2019-01-31Z,20070619,,
201495.66 452976.215 201487.57 452979.245 201484.94 452971.926 201489.12 452970.425 201490.14 452973.045 201488.98 452973.545 201489.34 452974.435 201490.59 452973.915 201487.99 452967.295 201491.69 452965.785 201495.66 452976.215,1969201490314529730900000000,1111017500100320024,11110,17500,1,0032,0024,4911,11110,14694,1,2,62.12,12,블록구조,01000,단독주택,0,1,0,19690130,51,06,50대,055,55세미만,2019-01-31Z,,,
199414.243 454192.779 199413.333 454195.879 199406.923 454195.039 199407.133 454190.889 199414.243 454192.779,0000199410274541935800000000,1111017300100011354,11110,17300,1,0001,1354,27837,11110,15750,1,2,46.02,11,벽돌구조,01000,단독주택,0,3,0,,,ZZ,기타,ZZZ,구분없,2019-01-31Z,,,
196927.034 456794.101 196919.114 456797.101 196917.744 456792.401 196911.984 456794.121 196910.724 456793.241 196910.524 456792.001 196910.644 456791.451 196911.334 456790.641 196912.754 456789.761 196911.434 456785.471 196913.624 456784.651 196914.404 456784.671 196912.744 456780.101 196918.344 456778.681 196919.644 456782.951 196928.634 456779.531 196928.784 456779.921 196931.784 456787.521 196931.294 456787.681 196925.804 456789.911 196927.034 456794.101,1992196920704567874600000000,1111018300105450001,11110,18300,1,0545,0001,22841,11110,27011,1,2,588.4,11,벽돌구조,03000,제1종근린생활시설,7.95,2,2,19920825,28,03,20대,030,30세미만,2019-01-31Z,19910508,,
201219.219 453054.461 201219.199 453059.161 201211.469 453059.101 201211.519 453054.371 201219.219 453054.461,1944201215344530567700000000,1111017400100010091,11110,17400,1,0001,0091,3881,11110,29289,1,2,19.83,51,일반목구조,01000,단독주택,0,1,0,19440901,76,08,70대,080,80세미만,2019-01-31Z,,,
201593.616 452632.651 201588.885 452633.531 201589.075 452634.271 201585.656 452634.841 201583.405 452628.781 201583.075 452625.021 201592.765 452624.461 201593.616 452632.651,0000201588404526291500000000,1111017500101790053,11110,17500,1,0179,0053,2630,11110,4870,1,2,44.3,51,일반목구조,01000,단독주택,0,1,0,,,ZZ,기타,ZZZ,구분없,2019-01-31Z,,,
201607.154 452549.34 201599.224 452548.32 201601.194 452530.09 201608.604 452531.18 201608.074 452541.27 201614.254 452542.58 201613.784 452545.45 201610.124 452547.81 201607.794 452547.6 201607.154 452549.34,2000201605274525407200000000,1111017500100720097,11110,17500,1,0072,0097,1826,11110,6195,1,2,643.24,21,철근콘크리트구조,01000,단독주택,11.55,3,1,20000307,20,03,20대,025,25세미만,2019-01-31Z,19960529,,
200761.346 453055.588 200755.346 453057.448 200755.406 453058.798 200753.356 453059.438 200753.886 453061.628 200751.195 453062.228 200748.755 453051.098 200749.375 453050.858 200749.395 453050.318 200752.205 453049.398 200751.875 453048.228 200751.285 453048.208 200750.065 453041.758 200758.255 453040.338 200761.346 453055.588,1980200754794530505400000000,1111017400106150135,11110,17400,1,0615,0135,4292,11110,24539,1,2,248.25,11,벽돌구조,01000,단독주택,0,2,1,19800212,40,05,40대,045,45세미만,2019-01-31Z,,,
200754.875 453006.058 200754.615 453005.047 200752.205 453005.198 200750.985 452999.218 200750.405 452999.138 200749.884 452995.138 200750.595 452994.598 200750.475 452993.828 200754.535 452993.077 200754.794 452993.608 200757.175 452993.807 200759.695 453004.708 200754.875 453006.058,1975200754694529994600000000,1111017400106150146,11110,17400,1,0615,0146,4298,11110,27625,1,2,85.59,11,벽돌구조,01000,단독주택,0,2,1,19750308,45,05,40대,050,50세미만,2019-01-31Z,,,
200753.565 453027.258 200745.485 453029.098 200743.865 453021.728 200750.565 453020.368 200751.625 453022.998 200752.475 453022.988 200753.565 453027.258,1974200748504530247200000000,1111017400106150132,11110,17400,1,0615,0132,4294,11110,12586,1,2,59.77,11,벽돌구조,01000,단독주택,0,2,0,19741230,46,05,40대,050,50세미만,2019-01-31Z,,,
197312.107 453051.704 197301.437 453052.114 197300.377 453045.874 197305.017 453045.324 197305.177 453047.394 197308.267 453047.254 197308.257 453045.204 197312.027 453044.984 197312.107 453051.704,1960197306514530487900000000,1111010800100820000,11110,10800,1,0082,0000,14332,11110,27553,1,2,35.31,51,일반목구조,01000,단독주택,0,1,0,19600820,60,07,60대,065,65세미만,2019-01-31Z,,,
200790.743 452902.066 200784.713 452904.836 200780.733 452897.616 200790.403 452893.996 200790.743 452902.066,1965200786514528993600000000,1111017400106100013,11110,17400,1,0610,0013,3235,11110,16663,1,2,35.86,12,블록구조,01000,단독주택,0,1,0,19651014,55,06,50대,060,60세미만,2019-01-31Z,,,
201329.589 453001.308 201325.649 453005.578 201324.209 453005.418 201323.289 453003.868 201322.849 452999.388 201325.979 452997.618 201329.589 453001.308,1939201325694530015800000000,1111017500100100001,11110,17500,1,0010,0001,3573,11110,29562,1,2,23.14,51,일반목구조,01000,단독주택,0,1,0,19391030,81,09,80대,085,85세미만,2019-01-31Z,,,
201334.889 452991.848 201323.419 452996.608 201322.509 452992.518 201329.149 452989.458 201327.409 452981.938 201331.529 452980.988 201334.889 452991.848,1939201329324529894100000000,1111017500100100007,11110,17500,1,0010,0007,3574,11110,7097,1,2,62.81,51,일반목구조,01000,단독주택,0,1,1,19391030,81,09,80대,085,85세미만,2019-01-31Z,,,
201024.618 452458.889 201024.958 452461.969 201015.318 452459.819 201016.148 452456.839 201024.618 452458.889,1985201020214524594000000000,1111017400101360014,11110,17400,1,0136,0014,8246,11110,28978,1,2,16.65,12,블록구조,01000,단독주택,0,1,0,19850629,35,04,30대,040,40세미만,2019-01-31Z,19850308,,
201235.205 452777.028 201234.655 452783.848 201233.725 452783.918 201233.375 452787.428 201227.375 452787.058 201227.715 452782.978 201227.945 452782.948 201228.065 452776.828 201235.205 452777.028,1996201231184527819100000000,1111017400100230087,11110,17400,1,0023,0087,3583,11110,6894,1,2,242.96,11,벽돌구조,01000,단독주택,9.1,3,1,19960201,24,03,20대,025,25세미만,2019-01-31Z,19950907,,
200332.844 453150.396 200331.144 453161.226 200324.584 453160.256 200326.263 453149.546 200332.844 453150.396,2004200328714531553500000000,1111016800101300054,11110,16800,1,0130,0054,3586,11110,24414,1,2,130.88,21,철근콘크리트구조,01000,단독주택,8.8,3,0,20040401,16,02,10대,020,20세미만,2019-01-31Z,20030901,,
201064.076 452343.677 201059.507 452352.507 201053.716 452349.987 201057.897 452341.007 201064.076 452343.677,1994201058824523467400000000,1111017400101400015,11110,17400,1,0140,0015,8168,11110,16171,1,2,234.43,21,철근콘크리트구조,01000,단독주택,11.9,4,1,19941026,26,03,20대,030,30세미만,2019-01-31Z,19940506,단독다가구,
200840.475 452987.596 200835.515 452994.466 200826.395 452987.786 200831.075 452982.146 200833.655 452983.746 200834.915 452982.986 200840.475 452987.596,1974200833614529879300000000,1111017400100230682,11110,17400,1,0023,0682,4424,11110,11266,1,2,101.75,11,벽돌구조,01000,단독주택,0,2,0,19741230,46,05,40대,050,50세미만,2019-01-31Z,,,
200798.096 453037.147 200797.626 453044.067 200784.075 453042.648 200784.235 453041.187 200787.075 453036.297 200788.335 453036.207 200788.445 453035.847 200798.096 453037.147,0000200791604530400400000000,1111017400106110062,11110,17400,1,0611,0062,4430,11110,16233,1,2,72.89,11,벽돌구조,03000,제1종근린생활시설,0,2,0,,,ZZ,기타,ZZZ,구분없,2019-01-31Z,,,
199989.917 454159.839 199979.587 454159.17 199980.317 454153.709 199986.197 454154.11 199986.647 454150.92 199990.557 454151.009 199989.917 454159.839,0000199985684541559900000000,1111016900100060047,11110,16900,1,0006,0047,9320,11110,29877,1,2,52.89,51,일반목구조,01000,단독주택,0,1,0,,,ZZ,기타,ZZZ,구분없,2019-01-31Z,,,
201530.843 452530.211 201527.433 452534.861 201524.393 452533.281 201525.093 452530.941 201521.293 452528.021 201523.183 452525.261 201530.843 452530.211,1960201526094525300200000000,1111017500100720209,11110,17500,1,0072,0209,1852,11110,29461,1,2,49.82,51,일반목구조,01000,단독주택,0,1,0,19600601,60,07,60대,065,65세미만,2019-01-31Z,,,
195973.216 455500.706 195970.736 455505.326 195965.896 455503.266 195967.426 455499.526 195969.386 455498.655 195973.216 455500.706,2001195969514555018800000000,1111018500100620003,11110,18500,1,0062,0003,11329,11110,3149,1,2,22,32,경량철골구조,04000,제2종근린생활시설,0,1,0,20010416,19,02,10대,020,20세미만,2019-01-31Z,,비동,
203674.187 450446.559 203671.317 450445.069 203670.667 450445.999 203662.147 450441.88 203664.507 450435.709 203672.437 450436.639 203677.947 450438.169 203674.187 450446.559,1994203670014504406300000000,1120010700100700009,11200,10700,1,0070,0009,32280,11200,8726,1,2,160.19,11,벽돌구조,01000,단독주택,5.6,2,1,19940322,26,03,20대,030,30세미만,2019-01-31Z,19920414,,
197483.298 453010.52 197464.708 453011.811 197463.778 453009.521 197467.498 452999.151 197481.098 452999.151 197481.098 453004 197483.138 453003.99 197483.298 453010.52,0000197473704530055700000000,1111010600100910026,11110,10600,1,0091,0026,13410,11110,11284,1,2,803.79,21,철근콘크리트구조,14000,업무시설,0,3,1,,,ZZ,기타,ZZZ,구분없,2019-01-31Z,,,
194432.7 445209.981 194433.544 445211.044 194424.653 445219.387 194421.794 445219.044 194421.934 445215.45 194421.794 445215.45 194422.591 445208.856 194432.7 445209.981,1991194426274452134200000000,1159010100103010021,11590,10100,1,0301,0021,698,11590,7976,1,2,155.07,11,벽돌구조,01000,단독주택,0,2,1,19910824,29,03,20대,030,30세미만,2019-01-31Z,19910404,,
201006.967 452390.428 200996.267 452407.489 200988.477 452402.619 200988.497 452402.099 200984.557 452399.569 200994.297 452383.209 201006.967 452390.428,1988200995584523952000000000,1111017400101380093,11110,17400,1,0138,0093,8161,11110,21672,1,2,367.32,21,철근콘크리트구조,01000,단독주택,0,3,1,19881029,32,04,30대,035,35세미만,2019-01-31Z,19880530,,
200859.305 452936.075 200855.204 452941.875 200848.724 452936.866 200852.634 452932.045 200853.444 452932.206 200854.324 452931.985 200859.305 452936.075,1973200854114529365800000000,1111017400100230502,11110,17400,1,0023,0502,4374,11110,22073,1,2,56.39,11,벽돌구조,01000,단독주택,0,2,0,19730329,47,05,40대,050,50세미만,2019-01-31Z,,,
197490.623 453345.283 197489.224 453347.833 197491.203 453348.903 197488.203 453355.193 197479.433 453350.853 197483.973 453342.313 197490.623 453345.283,1968197485684533487800000000,1111010400101640010,11110,10400,1,0164,0010,23922,11110,7317,1,2,134.19,11,벽돌구조,01000,단독주택,0,2,1,19680805,52,06,50대,055,55세미만,2019-01-31Z,,,
196818.806 456349.779 196817.656 456350.539 196821.577 456355.269 196814.896 456360.979 196808.246 456351.589 196815.656 456346.059 196818.806 456349.779,1979196814974563534100000000,1111018300105710002,11110,18300,1,0571,0002,21097,11110,20927,1,2,254.67,11,벽돌구조,01000,단독주택,0,2,1,19791206,41,05,40대,045,45세미만,2019-01-31Z,,,
202809.106 450823.336 202807.216 450824.866 202807.736 450825.297 202802.656 450830.587 202796.066 450824.197 202802.556 450818.236 202804.816 450820.366 202805.606 450819.656 202809.106 450823.336,1993202802694508241800000000,1120010700102960012,11200,10700,1,0296,0012,29067,11200,9675,1,2,225.54,11,벽돌구조,01000,단독주택,8.9,3,1,19931220,27,03,20대,030,30세미만,2019-01-31Z,19921226,,
196948.69 453377.912 196947.63 453380.972 196949.51 453382.282 196948.04 453386.552 196941.24 453384.662 196943.069 453378.182 196945.599 453375.242 196948.69 453377.912,1985196945514533814400000000,1111011100100470089,11110,11100,1,0047,0089,24657,11110,23945,1,2,46.51,12,블록구조,01000,단독주택,0,1,0,19850629,35,04,30대,040,40세미만,2019-01-31Z,,,
202754.346 450834.777 202751.776 450841.817 202748.796 450840.948 202749.336 450839.697 202742.916 450837.668 202745.036 450831.228 202754.346 450834.777,1989202748674508363100000000,1120010700102970038,11200,10700,1,0297,0038,29121,11200,9714,1,2,165.9,11,벽돌구조,01000,단독주택,0,2,1,19890620,31,04,30대,035,35세미만,2019-01-31Z,19880211,,
200755.974 452950.877 200755.184 452951.407 200755.584 452954.317 200753.044 452954.347 200750.134 452951.797 200749.164 452947.067 200754.814 452947.047 200755.974 452950.877,1998200752754529503300000000,1111017400106110025,11110,17400,1,0611,0025,3246,11110,24442,1,2,125.08,11,벽돌구조,01000,단독주택,8.2,3,1,19980828,22,03,20대,025,25세미만,2019-01-31Z,19970322,,
200366.43 452312.918 200366.95 452314.688 200370.45 452315.438 200369.12 452321.878 200367.54 452321.948 200366.101 452326.078 200359.51 452324.348 200360.97 452318.548 200361.8 452318.408 200362.37 452316.078 200362.82 452315.878 200364 452312.998 200365.6 452312.388 200366.43 452312.918,1989200365014523195700000000,1111016700102110001,11110,16700,1,0211,0001,5888,11110,19569,1,2,353.61,21,철근콘크리트구조,04000,제2종근린생활시설,0,4,1,19890826,31,04,30대,035,35세미만,2019-01-31Z,19880630,,
197371.755 452923.941 197371.555 452923.741 197371.755 452923.541 197371.955 452923.741 197371.755 452923.941,0000197371754529237400000000,1111010800101540003,11110,10800,1,0154,0003,28978,11110,19725,1,2,22.47,51,일반목구조,01000,단독주택,0,1,0,,,ZZ,기타,ZZZ,구분없,2019-01-31Z,,,
202869.199 450977.297 202864.709 450981.727 202861.459 450978.657 202866.169 450973.737 202869.199 450977.297,1994202865374509778100000000,1120010700102920027,11200,10700,1,0292,0027,29139,11200,9636,1,2,117.66,21,철근콘크리트구조,01000,단독주택,7.5,2,1,19940427,26,03,20대,030,30세미만,2019-01-31Z,19930820,,
200773.545 453007.997 200768.025 453013.247 200765.425 453003.147 200771.855 453001.617 200773.545 453007.997,0000200769494530066300000000,1111017400106110090,11110,17400,1,0611,0090,3259,11110,27859,1,2,63.37,11,벽돌구조,03000,제1종근린생활시설,0,2,0,,,ZZ,기타,ZZZ,구분없,2019-01-31Z,,,
202833.356 450814.856 202826.856 450821.536 202819.986 450815.966 202826.706 450808.966 202833.356 450814.856,1991202826704508153000000000,1120010700103090028,11200,10700,1,0309,0028,29025,11200,9922,1,2,198,11,벽돌구조,01000,단독주택,7.5,2,1,19910719,29,03,20대,030,30세미만,2019-01-31Z,19910122,,
201122.638 453018.502 201119.158 453014.652 201120.638 453013.542 201122.338 453014.172 201124.058 453012.412 201121.948 453009.132 201124.808 453006.561 201127.488 453010.972 201128.918 453013.942 201122.638 453018.502,1960201124394530130100000000,1111017400100130033,11110,17400,1,0013,0033,2999,11110,18714,1,2,28.63,51,일반목구조,01000,단독주택,0,1,0,19600520,60,07,60대,065,65세미만,2019-01-31Z,,,
197125.653 452896.135 197124.203 452907.925 197117.713 452907.086 197118.243 452898.906 197116.493 452898.686 197117.023 452895.076 197125.653 452896.135,0000197121254529012000000000,1111011000102790002,11110,11000,1,0279,0002,14727,11110,24694,1,2,52.89,51,일반목구조,01000,단독주택,0,1,0,,,ZZ,기타,ZZZ,구분없,2019-01-31Z,,,
199655.354 453540.42 199645.044 453546.03 199640.134 453540.54 199642.174 453537.84 199641.954 453537.47 199647.564 453532.33 199655.354 453540.42,1993199647234535395100000000,1111017300100820002,11110,17300,1,0082,0002,25823,11110,14793,1,2,469.12,21,철근콘크리트구조,04000,제2종근린생활시설,13.55,4,1,19931201,27,03,20대,030,30세미만,2019-01-31Z,19921219,,
199340.144 454284.681 199335.454 454286.421 199333.334 454285.181 199332.064 454279.951 199338.234 454279.371 199340.144 454284.681,1977199336014542827000000000,1111017300100011047,11110,17300,1,0001,1047,27563,11110,14917,1,2,80.5,11,벽돌구조,01000,단독주택,0,1,1,19771227,43,05,40대,045,45세미만,2019-01-31Z,,,
200326.695 451998.416 200326.675 452003.196 200316.805 452002.576 200316.055 451998.346 200326.695 451998.416,1957200321664520006000000000,1111016300102250010,11110,16300,1,0225,0010,5313,11110,5063,1,2,66.12,51,일반목구조,03000,제1종근린생활시설,0,2,0,19570929,63,07,60대,065,65세미만,2019-01-31Z,,,
200183.798 452854.096 200179.308 452874.756 200149.708 452870.816 200153.317 452849.996 200183.798 452854.096,1990200166534528623600000000,1111016800101690001,11110,16800,1,0169,0001,2900,11110,1670,1,2,1965.16,21,철근콘크리트구조,10000,교육연구시설,0,3,1,19900719,30,04,30대,035,35세미만,2019-01-31Z,19891007,,
201187.506 452287.125 201182.046 452284.705 201184.286 452277.025 201193.037 452280.455 201191.997 452284.685 201189.287 452284.045 201187.506 452287.125,1918201187184522820900000000,1111017400102120000,11110,17400,1,0212,0000,5135,11110,9492,1,2,122.31,51,일반목구조,04000,제2종근린생활시설,0,2,0,19180505,102,11,100세이상,105,100세이상,2019-01-31Z,,,
201143.463 452081.064 201142.893 452088.724 201133.373 452089.484 201134.193 452080.564 201143.463 452081.064,0000201138364520849700000000,1111017400104160002,11110,17400,1,0416,0002,5680,11110,16746,1,2,49.59,51,일반목구조,04000,제2종근린생활시설,0,1,0,,,ZZ,기타,ZZZ,구분없,2019-01-31Z,,,
201153.633 452080.963 201153.123 452088.364 201152.673 452089.054 201143.503 452088.754 201144.253 452080.874 201153.633 452080.963,1960201148624520849200000000,1111017400104160001,11110,17400,1,0416,0001,5681,11110,13801,1,2,51.24,51,일반목구조,01000,단독주택,0,1,0,19600403,60,07,60대,065,65세미만,2019-01-31Z,,,
201154.053 452072.773 201153.863 452079.373 201148.173 452079.224 201148.673 452073.854 201150.493 452073.564 201150.733 452072.514 201154.053 452072.773,0000201151314520761700000000,1111017400104160003,11110,17400,1,0416,0003,5683,11110,14496,1,2,39.67,51,일반목구조,01000,단독주택,0,1,0,,,ZZ,기타,ZZZ,구분없,2019-01-31Z,,,
200821.124 452320.361 200810.724 452320.941 200810.564 452317.421 200811.154 452317.111 200811.564 452312.431 200821.184 452311.861 200821.124 452320.361,1992200816094523164700000000,1111017400106510037,11110,17400,1,0651,0037,6758,11110,9749,1,2,211.77,21,철근콘크리트구조,01000,단독주택,0,3,1,19921124,28,03,20대,030,30세미만,2019-01-31Z,19920818,,
199102.573 451892.335 199101.153 451895.885 199085.943 451897.935 199077.233 451896.136 199079.723 451885.995 199081.123 451875.385 199102.863 451873.665 199102.573 451892.335,1998199091014518859700000000,1111015500101340003,11110,15500,1,0134,0003,19107,11110,12129,1,2,94.67,31,일반철골구조,03000,제1종근린생활시설,4.6,1,0,19980812,22,03,20대,025,25세미만,2019-01-31Z,19980620,,
197116.915 453000.526 197106.815 453000.566 197106.395 452995.306 197110.275 452995.287 197110.385 452996.906 197115.125 452996.926 197115.285 452995.136 197116.955 452995.126 197116.915 453000.526,0000197111614529981900000000,1111011000101500003,11110,11000,1,0150,0003,14227,11110,24826,1,2,29.75,51,일반목구조,01000,단독주택,0,1,0,,,ZZ,기타,ZZZ,구분없,2019-01-31Z,,,
200931.278 452487.89 200927.528 452487.971 200927.548 452489.141 200922.758 452489.241 200922.648 452483.74 200931.198 452483.581 200931.278 452487.89,2007200926724524861800000000,1111017400105830047,11110,17400,1,0583,0047,7363,11110,15611,1,2,110.6,21,철근콘크리트구조,01000,단독주택,8.1,3,1,20070208,13,02,10대,015,15세미만,2019-01-31Z,20000719,,
200526.326 452583.558 200526.136 452592.178 200522.736 452592.108 200522.636 452591.338 200520.896 452591.078 200521.636 452582.818 200526.326 452583.558,1989200523764525875900000000,1111016700100050065,11110,16700,1,0005,0065,2516,11110,11145,1,2,105.03,11,벽돌구조,01000,단독주택,0,2,1,19890715,31,04,30대,035,35세미만,2019-01-31Z,19890412,,
199324.241 454103.9 199321.431 454101.95 199327.05 454093.39 199329.491 454092.99 199330.991 454094.399 199330.451 454095.71 199331.891 454096.36 199329.471 454099.59 199327.381 454098.85 199324.241 454103.9,1971199326744540979600000000,1111017300100010257,11110,17300,1,0001,0257,27936,11110,19461,1,2,110.14,11,벽돌구조,01000,단독주택,0,2,0,19710901,49,05,40대,050,50세미만,2019-01-31Z,,,
200445.549 452827.621 200450.019 452827.651 200450.24 452836.471 200439.72 452836.711 200439.579 452831.831 200440.599 452831.501 200440.599 452826.081 200445.469 452825.941 200445.549 452827.621,1980200444904528317900000000,1111016500100060003,11110,16500,1,0006,0003,4756,11110,21402,1,2,215.54,11,벽돌구조,01000,단독주택,0,2,1,19800903,40,05,40대,045,45세미만,2019-01-31Z,,,
200440.204 452482.438 200432.674 452492.179 200428.584 452489.659 200435.363 452478.808 200440.204 452482.438,0000200434324524855600000000,1111016700100270089,11110,16700,1,0027,0089,7385,11110,11640,1,2,19.83,51,일반목구조,03000,제1종근린생활시설,0,1,0,,,ZZ,기타,ZZZ,구분없,2019-01-31Z,,,
200074.205 453980.407 200064.205 453982.687 200063.025 453974.367 200064.405 453974.017 200064.405 453972.857 200067.525 453972.177 200067.465 453971.207 200072.255 453970.187 200074.205 453980.407,1991200068574539766700000000,1111016900100220029,11110,16900,1,0022,0029,9949,11110,7244,1,2,226.95,11,벽돌구조,01000,단독주택,0,2,1,19910119,29,03,20대,030,30세미만,2019-01-31Z,19900713,,
200565.48 452212.384 200557.39 452215.214 200555.34 452210.694 200563.84 452206.054 200565.48 452212.384,0000200560674522109500000000,1111016400100290000,11110,16400,1,0029,0000,6064,11110,26721,1,2,135.54,51,일반목구조,01000,단독주택,0,2,0,,,ZZ,기타,ZZZ,구분없,2019-01-31Z,,,
200020.197 453552.674 200019.127 453557.544 200009.017 453555.274 200009.017 453554.524 200006.428 453554.094 200007.417 453549.344 200020.197 453552.674,1997200013314535535000000000,1111017100100200001,11110,17100,1,0020,0001,9185,11110,7360,1,2,261.36,21,철근콘크리트구조,04000,제2종근린생활시설,8.2,3,1,19971231,23,03,20대,025,25세미만,2019-01-31Z,19970226,,
200536.069 452125.154 200544.139 452125.994 200542.649 452141.304 200538.459 452140.414 200538.269 452137.644 200531.999 452136.314 200532.579 452123.094 200536.069 452125.154,0000200538104521318800000000,1111016400101270001,11110,16400,1,0127,0001,5188,11110,7504,1,2,247.4,51,일반목구조,03000,제1종근린생활시설,0,2,0,,,ZZ,기타,ZZZ,구분없,2019-01-31Z,,,
200494.147 452043.584 200493.467 452048.004 200488.187 452047.994 200488.547 452043.164 200494.147 452043.584,1961200491054520456500000000,1111016300102750002,11110,16300,1,0275,0002,5059,11110,27423,1,2,85.19,51,일반목구조,01000,단독주택,0,1,0,19610702,59,06,50대,060,60세미만,2019-01-31Z,,,
200411.056 452001.325 200406.236 452003.065 200405.396 451999.365 200409.396 451997.745 200411.056 452001.325,1960200408054520004200000000,1111016300102820001,11110,16300,1,0282,0001,5841,11110,18189,1,2,14.38,51,일반목구조,03000,제1종근린생활시설,0,1,0,19600510,60,07,60대,065,65세미만,2019-01-31Z,,,
200476.836 451985.794 200466.176 451993.984 200466.546 451985.054 200469.526 451984.254 200469.656 451984.484 200477.166 451983.124 200476.836 451985.794,1929200470684519874200000000,1111016300104320000,11110,16300,1,0432,0000,5844,11110,16915,1,2,28.07,51,일반목구조,01000,단독주택,0,1,0,19291201,91,10,90대,095,95세미만,2019-01-31Z,,,
