gisIdntfCno,pnu,ldCode,ldCodeNm,regstrSeCode,regstrSeCodeNm,mnnmSlno,buldIdntfcNo,agbldgSeCode,agbldgSeCodeNm,buldKndCode,buldKndCodeNm,buldNm,buldDongNm,buldTotar,strctCode,strctCodeNm,mainPrposCode,mainPrposCodeNm,buldHg,groundFloorCo,undgrndFloorCo,prmisnDe,useConfmDe,buldAge,agrdeSeCode,agrdeSeCodeNm,agrde5ClassSeCode,agrde5ClassSeCodeNm,lastUpdtDt
2012198108334524864700000000,1111012500100190000,1111012500,서울특별시 종로구 중학동,1,일반,19,100192138,1,일반건축물,2,일반건축물대방,더케이트윈타워,비동,42138.6,42,철골철근콘크리트구조,14000,업무시설,65,16,6,2008-03-07,2012-05-04,8,01,10세미만,010,10세미만,2019-01-31
2012198082764524991800000000,1111012500100190000,1111012500,서울특별시 종로구 중학동,1,일반,19,100192139,1,일반건축물,2,일반건축물대방,더케이트윈타워,에이동,41760.7,42,철골철근콘크리트구조,14000,업무시설,65,16,6,2008-03-07,2012-05-04,8,01,10세미만,010,10세미만,2019-01-31
