SHAPE,PNU,LD_CPSG_CODE,LD_EMD_LI_CODE,REGSTR_SE_CODE,MNNM,SLNO,LNM_LNDCGR_SMBOL,SRC_OBJECTID,SRC_LD_CPSG_CODE,ISSU_CONFM_CODE,STDR_YEAR,STDR_MT,ADSTRD_EMD_CODE,PBLNTF_PCLND,LNDCGR_CODE,LNDCGR_CODE_NM,LNDPCL_AR,PRPOS_AREA_1,PRPOS_AREA_1_NM,PRPOS_AREA_2,PRPOS_AREA_2_NM,LAD_USE_SITTN,LAD_USE_SITTN_NM,TPGRPH_HG_CODE,TPGRPH_HG_CODE_NM,TPGRPH_FRM_CODE,TPGRPH_FRM_CODE_NM,ROAD_SIDE_CODE,ROAD_SIDE_CODE_NM,FRST_REGIST_DT
198307.401 452953.813 198304.971 452953.791 198304.277 452948.54 198304.183 452946.394 198304.264 452936.444 198304.303 452935.917 198309.186 452936.588 198309.711 452936.645 198310.443 452938.78 198313.214 452946.761 198314.526 452951.723 198312.806 452952.323 198312.7 452952.031 198307.401 452953.813,1111014200101590000,11110,14200,1,0159,0000,159 대,205073,11110,1,2018,01,904,4382000,08,대,141.6,13,제1종일반주거지역,00,지정되지않음,110,단독,02,평지,07,부정형,08,세로한면(가),2018-08-07Z
198304.264 452936.444 198304.183 452946.394 198303.397 452936.432 198304.264 452936.444,1111014200101590001,11110,14200,1,0159,0001,159-1도,163449,11110,1,2018,01,904,1506000,14,도로,5.3,13,제1종일반주거지역,00,지정되지않음,910,도로등,00,지정되지않음,00,지정되지않음,00,지정되지않음,2018-08-07Z
198313.454 452954.393 198305.301 452956.21 198304.971 452953.791 198307.401 452953.813 198312.7 452952.031 198312.806 452952.323 198313.454 452954.393,1111014200101600001,11110,14200,1,0160,0001,160-1대,195510,11110,1,2018,01,904,4382000,08,대,16.5,13,제1종일반주거지역,00,지정되지않음,110,단독,02,평지,07,부정형,08,세로한면(가),2018-08-07Z
198316.276 452961.219 198311.445 452962.498 198305.655 452962.534 198305.301 452956.21 198313.454 452954.393 198316.276 452961.219,1111014200101610000,11110,14200,1,0161,0000,161대,163446,11110,1,2018,01,904,4382000,08,대,69.4,13,제1종일반주거지역,00,지정되지않음,110,단독,02,평지,07,부정형,08,세로한면(가),2018-08-07Z
198273.647 453054.6 198270.571 453055.299 198249.918 453059.69 198242.651 453061.2 198238.845 453062.048 198223.254 453065.713 198205.9 453069.743 198187.832 453073.848 198180.396 453075.384 198180.287 453075.193 198172.505 453070.009 198168.891 453052.985 198166.246 453038.493 198162.637 453019.085 198157.142 453000 198155.043 452992.943 198259.249 452973.105 198273.647 453054.6,1111014200101650000,11110,14200,1,0165,0000,165대,212269,11110,1,2018,01,904,7940000,08,대,8712.4,13,제1종일반주거지역,00,지정되지않음,240,상업기타,02,평지,07,부정형,03,광대세각,2018-08-07Z
198180.287 453075.193 198176.762 453076.017 198173.699 453076.418 198172.505 453070.009 198180.287 453075.193,1111014200101650003,11110,14200,1,0165,0003,165-3도,163410,11110,1,2018,01,904,2524000,14,도로,23.1,13,제1종일반주거지역,00,지정되지않음,910,도로등,02,평지,05,삼각형,02,광대소각,2018-08-07Z
198144.315 452908.82 198145.587 452934.589 198146.618 452954.663 198148.086 452968.562 198145.798 452960.439 198143.746 452919.961 198143.298 452904.994 198142.909 452891.507 198142.322 452870.692 198142.465 452868.236 198142.924 452868.171 198144.315 452908.82,1111014200101650004,11110,14200,1,0165,0004,165-4도,195508,11110,1,2018,01,904,1020000,14,도로,76,43,자연녹지지역,00,지정되지않음,910,도로등,02,평지,02,가로장방,01,광대로한면,2018-08-07Z
198142.322 452870.692 198142.909 452891.507 198143.298 452904.994 198143.746 452919.961 198145.798 452960.439 198148.086 452968.562 198148.145 452969.02 198152.103 452983.06 198157.142 453000 198151.706 453000 198150.002 452994.601 198148.361 452987.898 198143.546 452964.143 198141.683 452953.477 198141.143 452945.191 198140.038 452927.872 198138.957 452907.088 198138.938 452903.674 198138.899 452899.894 198138.885 452869.48 198142.465 452868.236 198142.322 452870.692,1111014200101650005,11110,14200,1,0165,0005,165-5도,209549,11110,1,2018,01,904,1256000,14,도로,535.5,43,자연녹지지역,13,제1종일반주거지역,910,도로등,00,지정되지않음,00,지정되지않음,00,지정되지않음,2018-08-07Z
198138.899 452899.894 198138.938 452903.674 198138.957 452907.088 198140.038 452927.872 198141.143 452945.191 198141.683 452953.477 198143.546 452964.143 198148.361 452987.898 198150.002 452994.601 198151.706 453000 198144.924 453000.001 198144.31 452996.923 198143.129 452991.423 198139.957 452976.586 198137.812 452963.957 198135.819 452951.371 198134.812 452943.87 198134.767 452942.288 198133.67 452915.561 198132.835 452897.222 198132.903 452889.977 198132.732 452870.793 198138.885 452869.48 198138.899 452899.894,1111014200101650006,11110,14200,1,0165,0006,165-6천,195504,11110,1,2018,01,904,1020000,17,하천,796.7,43,자연녹지지역,00,지정되지않음,910,도로등,00,지정되지않음,00,지정되지않음,00,지정되지않음,2018-08-07Z
198250.069 452903.244 198250.154 452905.251 198247.825 452906.207 198243.775 452891.49 198241.63 452883.206 198241.414 452880.465 198239.695 452872.889 198241.064 452872.673 198250.069 452903.244,1111014200101650007,11110,14200,1,0165,0007,165-7도,163455,11110,1,2018,01,904,1394000,14,도로,66.1,13,제1종일반주거지역,00,지정되지않음,910,도로등,00,지정되지않음,00,지정되지않음,00,지정되지않음,2018-08-07Z
